Suspeito,id_campo,Setor,status,LON,LAT
0,3,6,False,-42.028846,-22.972358
0,76,6,False,-42.030799,-22.972928
0,233,6,False,-42.030546,-22.970418
0,234,4,False,-42.028354,-22.96982
0,235,4,False,-42.02777,-22.969511
0,236,4,False,-42.026605,-22.969653
0,237,4,False,-42.026577,-22.969825
0,238,4,False,-42.026388,-22.969555
0,239,4,False,-42.026487,-22.969645
0,240,3,False,-42.02419,-22.973653
0,241,1,False,-42.028924,-22.976164
1,243,1,False,-42.030305,-22.976417
0,244,1,False,-42.030614,-22.976643
0,245,1,False,-42.030429,-22.977188
0,246,1,False,-42.029722,-22.976466
1,247,1,False,-42.02799,-22.97614
0,248,1,False,-42.026206,-22.976072
0,249,8,False,-42.025963,-22.97618
0,250,8,False,-42.024554,-22.975741
0,251,8,False,-42.024094,-22.975572
0,252,8,False,-42.023289,-22.975688
0,253,8,False,-42.023205,-22.975862
1,254,8,False,-42.022382,-22.976284
1,255,8,False,-42.023077,-22.976479
0,256,8,False,-42.022688,-22.976257
0,257,8,False,-42.022252,-22.976786
0,258,8,False,-42.022456,-22.976662
0,259,8,False,-42.023238,-22.976726
0,260,8,False,-42.023093,-22.977076
0,261,8,False,-42.023097,-22.977193
0,262,8,False,-42.023159,-22.97733
0,263,8,False,-42.023484,-22.977326
0,264,8,False,-42.02295,-22.97771
0,265,8,False,-42.023221,-22.978069
0,266,8,False,-42.023445,-22.978132
0,267,8,False,-42.023837,-22.978072
0,268,8,False,-42.023938,-22.978034
0,269,8,False,-42.022645,-22.977866
0,270,8,False,-42.024226,-22.97817
0,271,8,False,-42.023958,-22.977551
0,272,8,False,-42.02387,-22.977446
0,273,8,False,-42.023992,-22.977356
0,274,8,False,-42.023897,-22.977246
0,275,8,False,-42.024705,-22.977656
0,276,8,False,-42.025177,-22.978419
0,277,8,False,-42.025522,-22.97814
0,278,8,False,-42.02562,-22.978202
0,279,8,False,-42.025841,-22.978069
0,280,8,False,-42.025468,-22.977969
0,281,8,False,-42.02529,-22.977755
0,282,1,False,-42.02607,-22.978374
0,283,1,False,-42.026106,-22.978264
0,284,1,False,-42.026731,-22.977961
0,285,1,False,-42.026913,-22.978068
0,286,1,False,-42.027067,-22.978123
0,287,1,False,-42.02818,-22.978335
0,288,1,False,-42.028466,-22.97841
0,289,1,False,-42.027655,-22.978706
0,290,1,False,-42.028537,-22.979155
0,291,1,False,-42.028626,-22.97806
0,292,1,False,-42.030024,-22.978591
0,293,1,False,-42.029514,-22.97839
0,294,1,False,-42.029335,-22.978279
0,295,1,False,-42.028121,-22.977841
0,296,1,False,-42.027931,-22.977795
0,297,1,False,-42.027199,-22.977579
0,298,1,False,-42.026734,-22.977512
0,299,8,False,-42.025109,-22.977638
0,300,8,False,-42.024025,-22.977128
0,301,8,False,-42.023808,-22.976997
0,302,8,False,-42.02386,-22.976882
0,303,8,False,-42.022771,-22.976229
0,304,8,False,-42.025031,-22.976725
0,305,8,False,-42.025226,-22.976578
0,306,8,False,-42.025164,-22.977328
0,307,8,False,-42.025382,-22.977138
0,308,8,False,-42.02546,-22.976918
0,309,8,False,-42.025429,-22.976908
0,310,8,False,-42.02549,-22.976925
0,311,8,False,-42.025407,-22.977143
0,312,8,False,-42.025537,-22.976828
0,313,8,False,-42.025734,-22.976812
0,314,8,False,-42.025957,-22.976813
0,315,1,False,-42.026192,-22.976861
0,316,1,False,-42.026255,-22.977072
0,317,1,False,-42.026397,-22.977047
0,318,1,False,-42.026575,-22.977142
0,319,8,False,-42.024834,-22.976432
0,320,8,False,-42.024878,-22.976249
0,321,8,False,-42.025551,-22.976504
0,322,1,False,-42.026451,-22.97629
0,323,1,False,-42.026949,-22.976871
0,324,1,False,-42.0272,-22.976825
0,325,1,False,-42.027844,-22.977153
0,326,1,False,-42.027492,-22.977423
0,327,1,False,-42.02789,-22.9776
0,328,1,False,-42.028026,-22.976989
0,329,1,False,-42.028749,-22.977148
0,330,1,False,-42.02917,-22.977683
0,331,1,False,-42.028855,-22.976887
1,332,1,False,-42.02955,-22.978214
0,333,1,False,-42.028035,-22.976513
0,334,1,False,-42.027553,-22.976465
0,335,1,False,-42.029136,-22.97653
0,336,1,False,-42.028733,-22.977271
0,337,8,False,-42.023785,-22.977158
0,338,8,False,-42.022966,-22.97607
0,339,8,False,-42.024665,-22.977178
0,340,1,False,-42.030461,-22.976507
0,341,8,False,-42.026056,-22.976226
0,242,1,False,-42.028287,-22.977593
1,343,8,False,-42.02451,-22.97818
